hindi,complaint,category
"सोनीपत में दो बच्चों पांच साल के लड़के और दो साल की लड़की का कथित तौर पर
दोपहर करीब 2.30 बजे अपहरण कर लिया गया. यह घटना तब हुई जब वे खेल रहे थे
और माता-पिता काम पर गए थे.","Two children, a five-year-old boy and a two-year-old girl, were allegedly murdered in Sonipat.
Kidnapped at around 2.30 pm. This incident happened while they were playing
And the parents had gone to work.",2
पंचकुला में जहां शादी की पूर्व संध्या पर दुल्हन के पड़ोसी ने उसके पिता की कथित तौर पर हत्या कर दीपड़ोसी जिसनु ने 27 जून को 61 वर्षीय राजू की कथित तौर पर हत्या कर दी. पीड़ित के रिश्ते के भाई ने संवाददाताओं को बताया कि शादी की पूर्व संध्या पर रस्में खत्म होने के बाद आरोपी ने अपने भाई जिजिन और दो दोस्तों श्याम और मनु के साथ दुल्हन के परिवार पर हमला कर दिया. शादी शिवगीरी में सुबह 11 बजकर 10 मिनट पर होनी थी. आरोपी का परिवार दो वर्ष पूर्व पीड़ित की बेटी के लिए विवाह का प्रस्ताव लेकर आया था जिसे पीड़ित ने नकार दिया था. आरोपी का परिवार दो वर्ष पूर्व पीड़ित की बेटी के लिए विवाह का प्रस्ताव लेकर आया था जिसे पीड़ित ने नकार दिया था.,"In Panchkula, where the bride's neighbor allegedly killed her father on the eve of the wedding, Deepadosi Jisnu allegedly murdered 61-year-old Raju on June 27. The victim's cousin told reporters that after the wedding rituals were over on the eve of the wedding, the accused along with his brother Jijin and two friends Shyam and Manu attacked the bride's family. The wedding was to take place in Shivgiri at 11.10 am. The family of the accused had come up with a marriage proposal for the victim's daughter two years ago, which the victim had rejected. The family of the accused had come up with a marriage proposal for the victim's daughter two years ago, which the victim had rejected.",3
सोनीपत से अपने रिश्तेदार के सात वर्षीय बच्चे का अपहरण करने के बाद बच्चे को अंबाला रेलवे स्टेशन से बरामद किया. राजमिस्त्री का काम करने वाले 45 वर्षीय एक व्यक्ति ने दो साल पहले अपनी सास को दो लाख रुपये उधार दिए थे. कई बार मांगने के बाद भी उसकी सास ने रुपए नहीं लौटाए इसके बाद उसने साली के बेटे को अगवा करने की साजिश रची ताकि वह सास पर दवाब बनाकर पैसे मांग सके.,"After kidnapping the seven-year-old child of his relative from Sonipat, the child was recovered from Ambala railway station. A 45-year-old man, who works as a mason, had lent Rs 2 lakh to his mother-in-law two years ago. Even after asking several times, her mother-in-law did not return the money, after which she conspired to kidnap her sister-in-law's son so that she could put pressure on her mother-in-law and demand money.",2
"थानेसर मे शादी के महज छह महीने बाद ही एक नवविवाहिता द्वारा फंदे से लटककर
आत्महत्या की.लड़की ओडिशा की रहने वाली है और थानेसर के एक युवक से
इंस्ट्राग्राम से प्यार के बाद शादी रचाई थी.","A newlywed hanged himself just six months after his marriage in Thanesar.
Committed suicide. The girl is from Odisha and was married to a young man from Thanesar.
Got married after falling in love on Instagram.",3
"मवार को डकैती के मामलों में वांछित दो लोगों को गिरफ्तार किया गया है, जिसने
कथित तौर पर अपनी गुंडागर्दी का वीडियो शूट किया था और उसे सोशल मीडिया में
अपलोड किया था.","Two men wanted in robbery cases have been arrested in Mawar, who
Had allegedly shot a video of his hooliganism and shared it on social media.
Had uploaded.",0
"गुरुवार को भोला मिठाई की दुकान से यह कहकर निकला था कि वह बच्ची को
उसके घर छोड़ देगा. लेकिन जब देर शाम तक बच्ची घर नहीं पहुंची तो उसके
अभिभावक ने उसे ढूंढ़ना शुरू कर दिया. इसके बाद बच्ची के परिजन भोला के घर
पहुंचे.4 साल की बची के साथ रपे और लाश को कंटेनर में छुपाया","On Thursday, Bhola had left the sweet shop saying that he was going to take the girl.
Will leave his house. But when the girl did not reach home till late evening,
The guardian started searching for him. After this, the girl's family lived at Bhola's house.
Arrived, raped a 4 year old girl and hid her body in a container.",4
उत्तर प्रदेश के गांव नगला अनूप में एक हादसे ने शिव कुमार के पूरे परिवार की ले ली. इस एक्सीडेंट में शिव कुमार का पूरा परिवार खत्म हो गया. राजस्थान के गोगामेड़ी से दर्शन कर लौट रहा यह परिवार हरियाणा के बहादुरगढ़ में शुक्रवार तड़के - गुरुग्राम मार्ग पर सड़क हादसे का शिकार हो गया. हादसे में परिवार के आठ लोगों की मौत की खबर सुनकर गांव में मातम पसर गया है.,"An accident in village Nagla Anup of Uttar Pradesh took away the entire family of Shiv Kumar. Shiv Kumar's entire family perished in this accident. This family, returning after visiting Gogamedi in Rajasthan, became victim of a road accident on the Gurugram road in Bahadurgarh, Haryana in the early hours of Friday. There is mourning in the village after hearing the news of death of eight members of the family in the accident.",1
हरकतों से परेशान होकर होटल मालिक ने युवक को कराया अगवा.,"Frustrated with the antics of the hotel owner, the young man was kidnapped.",2
"हरियाणा के पलवल में एक कंपनी के एक कर्मचारियों को हाथ-पैर बांधकर लूटपाट
की घटना सामने आई है। हथियार की दम पर बदमाशों ने कर्मचारियों को बंधक बनाकर
उन्हें कमरे में बंद किया और फिर उनकी जेब खाली कर गए।","An employee of a company was tied hand and foot and looted in Palwal, Haryana.
The incident has come to light. The miscreants held the employees hostage at gunpoint.
They locked them in the room and then emptied their pockets.",0
"हरियाणा रेवाड़ी – रोहतक हाइवे पर ट्रेलर चालक को बंधक बनाकर ट्रेलर
(ट्रक) को लूटने की वारदात में शामिल तीन आरोपियों को रेवाड़ी पुलिस ने
गिरफ्तार किया है.","Trailer driver taken hostage on Haryana Rewari-Rohtak Highway
Rewari police arrested three accused involved in the robbery of a truck.
Has been arrested.",0
